accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.01,0.06,1.04,-0.18,0.06,-0.03,0.33,3.31
0.03,0.05,1.04,-0.15,0.05,-0.02,1.42,2.84
0.05,0.04,1.04,-0.14,0.05,-0.02,2.56,2.36
0.06,0.03,1.04,-0.13,0.03,-0.01,3.38,1.76
0.08,0.02,1.04,-0.12,0.02,-0.03,4.31,0.94
0.1,0.0,1.03,-0.13,-0.0,-0.04,5.31,0.22
0.1,0.0,1.03,-0.16,0.02,-0.05,5.54,0.21
0.11,-0.0,1.02,-0.17,0.02,-0.07,6.28,-0.17
0.11,-0.0,1.02,-0.19,-0.0,-0.06,6.23,-0.13
0.1,0.0,1.01,-0.23,0.01,-0.07,5.72,0.01
0.09,0.01,1.02,-0.26,0.02,-0.06,5.09,0.49
0.08,0.01,1.01,-0.26,0.01,-0.05,4.65,0.58
0.06,0.01,1.01,-0.27,-0.0,-0.05,3.51,0.82
0.05,0.01,1.02,-0.29,0.01,-0.06,2.64,0.78
0.03,0.02,1.02,-0.28,-0.01,-0.05,1.61,1.14
0.01,0.03,1.03,-0.28,0.01,-0.03,0.6,1.87
-0.01,0.04,1.04,-0.24,-0.02,-0.01,-0.49,2.48
-0.02,0.05,1.04,-0.22,-0.01,-0.02,-1.13,2.52
-0.02,0.04,1.04,-0.18,-0.0,-0.0,-0.88,2.44
-0.02,0.04,1.04,-0.15,-0.02,0.01,-1.03,2.2
-0.01,0.05,1.03,-0.12,-0.03,0.02,-0.58,2.5
-0.01,0.05,1.03,-0.09,-0.02,0.03,-0.63,2.85
-0.0,0.07,1.01,-0.08,-0.01,0.04,-0.09,3.68
0.01,0.08,1.02,-0.04,-0.01,0.06,0.4,4.2
0.02,0.08,1.03,-0.02,-0.02,0.09,1.21,4.43
0.04,0.07,1.04,0.06,0.13,-0.05,2.28,3.73
0.05,0.07,1.05,0.02,0.0,0.09,2.92,3.61
0.08,0.06,1.07,0.04,-0.01,0.09,4.45,3.23
0.1,0.06,1.09,0.03,-0.04,0.06,5.09,3.31
0.12,0.06,1.09,0.07,-0.03,0.04,6.07,3.18
0.14,0.05,1.08,0.08,0.01,0.01,7.46,2.63
0.18,0.03,1.07,0.06,0.0,0.0,9.35,1.61
0.18,0.01,1.07,0.04,0.0,-0.03,9.51,0.5
0.19,-0.02,1.06,-0.0,-0.01,-0.04,10.2,-0.8
0.19,-0.03,1.06,-0.05,-0.0,-0.06,9.96,-1.48
0.18,-0.03,1.05,-0.1,0.01,-0.08,9.88,-1.45
0.17,-0.05,1.04,-0.17,0.02,-0.08,9.5,-2.54
0.15,-0.04,1.04,-0.21,0.02,-0.1,8.33,-2.14
0.12,-0.03,1.05,-0.27,0.01,-0.11,6.76,-1.77
0.1,-0.02,1.06,-0.29,0.01,-0.1,5.47,-1.25
0.06,-0.01,1.06,-0.3,-0.02,-0.09,3.45,-0.64
0.04,-0.0,1.07,-0.29,-0.03,-0.08,2.1,-0.27
0.02,-0.01,1.08,-0.28,-0.03,-0.08,1.16,-0.44
0.01,-0.01,1.08,-0.26,-0.06,-0.07,0.43,-0.61
-0.0,-0.01,1.08,-0.23,-0.07,-0.07,-0.17,-0.34
-0.01,0.0,1.1,-0.2,-0.1,-0.05,-0.66,0.04
-0.01,0.01,1.11,-0.18,-0.1,-0.06,-0.51,0.35
-0.01,0.01,1.11,-0.17,-0.09,-0.05,-0.51,0.43
-0.0,0.01,1.11,-0.15,-0.09,-0.04,-0.24,0.68
0.02,0.01,1.1,-0.13,-0.09,-0.04,0.92,0.76
0.03,0.02,1.1,-0.14,-0.06,-0.05,1.31,1.09
0.05,0.02,1.09,-0.16,-0.04,-0.04,2.39,1.01
0.06,0.02,1.1,-0.16,-0.04,-0.04,3.05,1.06
0.07,0.02,1.1,-0.16,-0.03,-0.04,3.47,0.79
0.08,0.01,1.1,-0.2,-0.02,-0.05,3.96,0.31
0.09,0.01,1.08,-0.18,0.14,-0.23,4.49,0.32
0.08,0.01,1.07,-0.27,0.02,-0.07,4.51,0.32
