accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.04,-0.01,0.82,-0.03,0.15,0.11,2.54,-0.91
0.03,0.0,0.88,-0.01,0.21,0.03,1.98,0.12
0.04,0.01,0.82,0.02,0.14,-0.04,2.89,0.56
0.03,0.03,0.83,0.03,0.14,-0.1,1.93,1.97
0.01,0.03,0.8,0.02,0.08,-0.17,1.05,2.24
0.0,0.03,0.83,0.02,0.05,-0.26,0.34,2.12
-0.01,0.05,0.82,-0.0,0.02,-0.34,-0.59,3.78
-0.01,0.06,0.84,-0.02,0.0,-0.42,-0.38,4.21
-0.01,0.06,0.88,-0.05,-0.02,-0.5,-0.42,3.87
-0.02,0.07,0.91,-0.06,-0.0,-0.56,-1.01,4.54
-0.02,0.09,0.94,-0.05,-0.04,-0.61,-1.11,5.5
-0.01,0.11,0.96,-0.06,-0.08,-0.65,-0.54,6.4
-0.0,0.11,0.97,-0.05,-0.11,-0.69,-0.23,6.74
-0.0,0.11,0.97,-0.05,-0.14,-0.71,-0.28,6.39
-0.01,0.1,1.0,-0.07,-0.11,-0.74,-0.61,5.87
-0.03,0.1,1.01,-0.09,-0.05,-0.73,-1.44,5.76
-0.02,0.11,1.02,-0.09,0.01,-0.71,-0.94,5.91
-0.0,0.11,1.01,-0.09,0.05,-0.68,-0.27,5.93
0.01,0.11,1.02,-0.07,0.08,-0.65,0.47,5.95
0.02,0.11,1.04,-0.03,0.1,-0.62,1.2,6.25
0.03,0.11,1.04,0.01,0.11,-0.59,1.78,5.85
0.03,0.1,1.04,0.04,0.09,-0.57,1.45,5.53
0.02,0.09,1.04,0.07,0.06,-0.54,0.85,5.21
0.02,0.09,1.03,0.13,0.04,-0.52,0.83,4.84
0.01,0.08,1.01,0.16,0.04,-0.5,0.49,4.7
0.02,0.08,1.0,0.2,0.01,-0.52,1.07,4.61
0.0,0.07,0.97,0.23,0.03,-0.55,0.16,4.28
-0.01,0.06,0.96,0.25,0.02,-0.51,-0.43,3.57
-0.01,0.05,0.94,0.28,0.01,-0.55,-0.32,3.11
0.0,0.05,0.95,0.3,0.01,-0.58,0.01,2.91
-0.01,0.03,0.96,0.31,-0.02,-0.62,-0.76,2.02
-0.04,0.03,0.96,0.31,-0.01,-0.66,-2.56,1.68
-0.06,0.03,0.98,0.31,-0.02,-0.69,-3.36,1.92
-0.07,0.06,1.0,0.3,-0.0,-0.68,-4.26,3.44
-0.09,0.09,1.03,0.32,0.05,-0.63,-5.06,4.87
-0.09,0.1,1.05,0.33,0.13,-0.55,-5.12,5.66
-0.11,0.1,1.03,0.36,0.14,-0.48,-5.95,5.62
-0.11,0.1,1.04,0.37,0.15,-0.39,-6.08,5.28
-0.12,0.09,1.01,0.37,0.14,-0.31,-6.92,5.17
-0.13,0.09,0.98,0.37,0.07,-0.25,-7.5,4.96
-0.14,0.08,0.94,0.34,-0.03,-0.21,-8.44,4.87
-0.17,0.07,0.93,0.28,-0.08,-0.17,-10.39,4.52
-0.17,0.06,0.91,0.22,-0.17,-0.15,-10.67,3.68
-0.22,0.06,0.92,0.12,-0.25,-0.13,-13.29,3.51
-0.24,0.06,0.91,0.01,-0.33,-0.1,-14.75,3.78
-0.22,0.07,0.9,-0.08,-0.5,-0.08,-13.68,4.05
-0.22,0.06,0.92,-0.16,-0.58,-0.04,-13.6,3.88
-0.19,0.06,0.95,-0.25,-0.71,0.0,-11.56,3.79
-0.17,0.06,0.92,-0.32,-0.89,0.05,-10.59,3.97
-0.14,0.06,0.9,-0.37,-1.03,0.08,-9.01,3.58
-0.15,0.04,0.89,-0.41,-1.19,0.07,-9.4,2.8
-0.14,0.04,0.91,-0.46,-1.32,0.08,-8.71,2.34
-0.12,0.01,0.9,-0.48,-1.38,0.08,-7.38,0.6
-0.09,0.01,0.87,-0.51,-1.43,0.08,-5.75,0.43
-0.07,0.01,0.83,-0.52,-1.55,0.05,-4.81,1.01
-0.04,0.01,0.83,-0.51,-1.55,0.0,-2.55,1.0
-0.05,-0.01,0.81,-0.49,-1.54,-0.02,-3.48,-0.94
-0.07,-0.02,0.78,-0.54,-1.49,-0.09,-5.4,-1.63
-0.04,-0.03,0.82,-0.56,-1.38,-0.11,-2.45,-2.15
-0.04,-0.03,0.83,-0.54,-1.31,-0.15,-2.42,-2.23
-0.03,-0.03,0.84,-0.54,-1.25,-0.2,-2.06,-2.07
-0.03,-0.03,0.86,-0.53,-1.15,-0.24,-2.09,-2.24
-0.02,-0.04,0.87,-0.54,-1.07,-0.27,-1.36,-2.71
-0.01,-0.06,0.9,-0.54,-1.0,-0.32,-0.73,-3.92
-0.01,-0.07,0.93,-0.52,-0.88,-0.34,-0.67,-4.11
0.02,-0.1,0.96,-0.52,-0.75,-0.35,1.46,-6.21
0.11,-0.16,0.98,-0.49,-0.91,-0.41,6.44,-9.28
0.1,-0.07,1.04,-0.43,-0.7,-0.4,5.25,-3.7
0.05,-0.02,1.07,-0.33,-0.56,-0.36,2.89,-0.97
0.04,0.0,1.11,-0.23,-0.48,-0.3,2.0,0.25
0.01,0.02,1.11,-0.11,-0.44,-0.23,0.56,0.95
-0.02,0.02,1.09,-0.04,-0.4,-0.16,-1.24,1.16
-0.04,0.02,1.08,0.04,-0.38,-0.08,-2.02,1.18
-0.05,0.01,1.07,0.1,-0.35,-0.03,-2.66,0.77
-0.08,0.0,1.05,0.13,-0.32,0.01,-4.27,0.1
-0.1,-0.0,1.03,0.14,-0.24,0.06,-5.58,-0.13
-0.1,0.01,1.01,0.13,-0.2,0.1,-5.41,0.53
-0.1,0.01,0.97,0.13,-0.11,0.14,-6.11,0.34
-0.1,0.01,0.93,0.09,-0.04,0.17,-5.98,0.4
-0.08,-0.0,0.89,0.06,-0.02,0.18,-5.48,-0.29
