accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.01,-0.0,0.88,0.01,0.09,0.06,-0.59,-0.24
-0.0,-0.01,0.88,0.0,0.08,0.06,-0.31,-0.36
-0.01,-0.01,0.89,-0.02,0.06,0.05,-0.88,-0.86
-0.01,-0.01,0.89,-0.06,0.08,0.06,-0.8,-0.83
-0.01,-0.01,0.9,-0.07,0.05,0.07,-0.78,-0.62
-0.01,-0.0,0.9,-0.09,0.05,0.06,-0.81,-0.26
-0.01,0.0,0.9,-0.11,0.04,0.07,-0.45,0.28
-0.01,0.01,0.9,-0.12,0.03,0.06,-0.73,0.72
-0.01,0.02,0.91,-0.13,0.02,0.06,-0.51,1.09
-0.01,0.03,0.92,-0.14,0.02,0.05,-0.46,1.7
-0.01,0.04,0.92,-0.15,0.01,0.05,-0.44,2.44
-0.01,0.05,0.93,-0.15,0.03,0.05,-0.66,3.11
-0.0,0.06,0.94,-0.13,0.01,0.05,-0.08,3.4
-0.0,0.06,0.94,-0.12,0.02,0.03,-0.1,3.78
-0.01,0.07,0.95,-0.1,0.02,0.03,-0.46,4.07
-0.0,0.06,0.96,-0.1,0.03,0.03,-0.22,3.72
-0.01,0.06,0.96,-0.08,0.01,0.03,-0.63,3.77
-0.02,0.05,0.97,-0.05,0.03,0.02,-0.92,3.01
-0.01,0.05,0.97,-0.04,0.02,0.04,-0.85,3.11
-0.01,0.05,0.97,-0.03,0.04,0.03,-0.88,2.68
-0.02,0.04,0.97,-0.02,0.04,0.04,-1.12,2.28
-0.02,0.03,0.97,-0.01,0.03,0.04,-1.26,1.96
-0.02,0.03,0.96,-0.01,0.02,0.04,-1.07,1.97
-0.02,0.03,0.96,0.01,0.04,0.03,-1.21,1.76
-0.02,0.03,0.96,0.0,0.05,0.04,-1.27,1.52
-0.02,0.04,0.96,0.01,0.05,0.03,-1.32,2.16
-0.02,0.03,0.96,0.01,0.05,0.05,-1.35,1.53
-0.02,0.03,0.96,0.02,0.06,0.03,-1.11,1.6
-0.02,0.02,0.96,0.03,0.06,0.04,-1.21,1.34
-0.02,0.02,0.97,0.03,0.06,0.04,-1.39,1.4
-0.02,0.02,0.97,0.04,0.05,0.05,-1.44,1.39
-0.03,0.02,0.97,0.04,0.06,0.04,-1.56,1.22
-0.03,0.01,0.97,0.04,0.07,0.04,-1.61,0.81
-0.03,0.01,0.97,0.05,0.06,0.06,-1.96,0.79
-0.03,0.02,0.97,0.05,0.04,0.06,-1.89,1.02
-0.03,0.01,0.96,0.05,0.05,0.07,-2.07,0.81
-0.04,0.01,0.96,0.07,0.07,0.06,-2.11,0.47
-0.03,0.01,0.95,0.06,0.07,0.07,-2.07,0.68
-0.04,0.02,0.95,0.07,0.06,0.07,-2.41,0.94
-0.03,0.01,0.94,0.06,0.07,0.08,-2.11,0.43
-0.03,0.01,0.95,0.05,0.1,0.09,-1.76,0.69
-0.03,0.02,0.93,0.04,0.09,0.1,-1.99,0.93
-0.03,0.02,0.93,0.06,0.09,0.1,-1.87,1.21
-0.03,0.02,0.92,0.05,0.08,0.09,-1.79,1.45
-0.03,0.02,0.92,0.03,0.09,0.09,-1.65,1.03
-0.03,0.03,0.92,0.02,0.09,0.1,-1.98,1.6
-0.03,0.03,0.92,0.02,0.07,0.1,-1.81,1.56
-0.03,0.02,0.93,0.02,0.05,0.1,-1.77,1.47
-0.04,0.02,0.92,-0.0,0.06,0.09,-2.33,1.18
-0.03,0.03,0.93,-0.02,0.05,0.1,-2.1,1.7
-0.03,0.03,0.94,-0.01,0.03,0.1,-2.07,1.72
-0.03,0.03,0.93,-0.01,0.03,0.09,-2.04,1.84
-0.04,0.03,0.94,-0.04,0.04,0.09,-2.31,1.6
-0.03,0.03,0.94,-0.03,0.05,0.09,-2.01,1.67
-0.03,0.03,0.94,-0.02,0.03,0.09,-1.99,2.06
-0.03,0.03,0.94,-0.02,0.04,0.1,-1.91,2.02
-0.03,0.04,0.94,-0.02,0.03,0.09,-2.12,2.28
-0.04,0.03,0.94,-0.02,0.05,0.09,-2.15,2.04
-0.04,0.04,0.94,-0.02,0.05,0.09,-2.41,2.17
-0.04,0.03,0.94,-0.02,0.03,0.09,-2.43,2.04
-0.03,0.04,0.94,-0.02,0.05,0.08,-2.11,2.17
-0.04,0.04,0.94,-0.03,0.06,0.08,-2.28,2.55
-0.04,0.04,0.95,-0.01,0.05,0.08,-2.23,2.32
-0.03,0.04,0.94,0.0,0.05,0.08,-2.12,2.56
-0.03,0.04,0.94,-0.0,0.09,0.07,-1.86,2.5
