accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.04,0.04,1.0,-0.01,0.0,0.01
0.04,0.04,1.0,-0.02,0.01,-0.0
0.03,0.04,1.0,-0.02,0.0,0.01
0.04,0.05,1.0,-0.02,0.0,-0.0
0.03,0.04,1.0,-0.02,-0.0,-0.0
0.03,0.04,1.0,-0.02,0.0,-0.0
0.04,0.04,1.0,-0.03,-0.0,0.01
0.03,0.04,1.0,-0.03,0.0,-0.0
0.04,0.05,0.99,-0.02,-0.0,0.0
0.03,0.04,1.0,-0.03,0.01,0.01
0.04,0.04,1.0,-0.03,0.01,0.0
0.04,0.04,1.0,-0.02,0.01,-0.0
0.04,0.04,0.99,-0.01,0.01,0.0
0.04,0.04,0.99,-0.01,0.0,0.0
0.03,0.05,1.01,-0.02,0.01,-0.01
0.04,0.04,1.0,-0.02,0.0,0.0
0.03,0.05,1.01,-0.02,0.01,0.0
0.03,0.04,1.0,-0.02,0.0,0.0
0.03,0.05,1.0,-0.02,-0.0,0.0
0.04,0.04,0.99,-0.03,0.0,-0.01
0.04,0.04,1.0,-0.01,0.01,-0.0
0.04,0.05,1.0,-0.02,0.01,-0.0
0.04,0.04,1.0,-0.02,0.0,0.0
0.04,0.05,1.0,-0.02,0.01,-0.0
0.03,0.05,1.0,-0.01,-0.01,0.01
0.03,0.05,1.01,-0.03,-0.0,0.0
0.04,0.05,1.0,-0.04,0.01,0.0
0.04,0.05,1.0,-0.02,0.01,-0.01
0.03,0.04,1.0,-0.03,0.01,0.0
0.03,0.05,1.0,-0.02,0.0,-0.0
0.04,0.04,1.0,-0.02,-0.0,0.01
0.04,0.04,1.0,-0.01,0.01,-0.01
0.04,0.04,0.99,-0.01,-0.0,0.0
0.04,0.05,1.0,-0.02,0.01,0.01
0.04,0.04,0.99,-0.02,0.01,0.0
0.04,0.04,1.0,-0.02,0.0,-0.01
0.04,0.04,1.0,-0.02,0.01,-0.0
0.04,0.05,1.0,-0.02,0.0,0.0
0.03,0.05,1.0,-0.03,0.0,0.0
0.03,0.04,1.0,-0.02,0.0,-0.01
0.04,0.04,0.99,-0.02,0.01,-0.0
0.03,0.05,1.0,-0.01,0.0,-0.01
0.04,0.04,1.0,-0.01,-0.0,0.0
0.04,0.04,1.0,-0.01,0.0,0.0
0.03,0.04,1.0,-0.02,-0.0,0.0
0.03,0.03,1.0,-0.02,-0.0,0.0
0.03,0.04,1.01,-0.01,0.0,0.01
0.04,0.04,1.0,-0.01,0.01,-0.0
0.04,0.05,1.0,-0.02,0.0,-0.0
0.04,0.05,1.0,-0.02,0.01,-0.0
0.03,0.04,1.0,0.0,0.06,-0.06
0.04,0.04,1.0,-0.04,-0.01,0.01
0.04,0.05,1.0,-0.03,0.0,0.01
0.04,0.04,1.0,-0.02,0.01,0.01
0.04,0.04,1.0,-0.04,0.02,-0.01
0.04,0.04,0.99,-0.02,0.0,0.01
0.04,0.05,1.0,-0.02,0.0,-0.0
0.04,0.04,1.0,-0.02,0.0,0.0
0.04,0.04,1.01,-0.02,0.01,-0.0
0.04,0.04,1.0,-0.02,-0.0,-0.0
0.04,0.04,1.0,-0.02,0.01,-0.0
0.03,0.05,1.0,-0.03,-0.0,0.01
0.04,0.05,1.0,-0.02,0.01,0.0
0.04,0.05,1.0,-0.02,-0.0,-0.0
0.04,0.05,1.0,-0.02,0.0,0.01
0.04,0.04,1.0,-0.03,-0.0,0.01
0.04,0.04,1.0,-0.04,0.01,-0.0
0.03,0.04,1.0,-0.02,-0.0,-0.0
0.04,0.04,1.0,-0.02,0.0,0.0
0.04,0.04,1.0,-0.02,0.0,0.0
0.04,0.05,1.0,-0.02,0.01,-0.0
0.04,0.05,1.0,-0.01,0.0,-0.0
0.04,0.04,1.01,-0.03,0.01,-0.0
0.04,0.05,1.0,-0.03,0.01,0.0
0.03,0.04,1.0,-0.02,0.01,-0.0
0.03,0.04,1.0,-0.02,0.01,0.01
0.04,0.04,1.0,-0.03,0.01,0.01
0.03,0.05,1.0,-0.02,0.01,0.0
0.04,0.04,1.0,-0.02,0.0,0.0
0.04,0.04,1.01,-0.02,0.0,-0.0
0.04,0.05,1.01,-0.02,0.0,-0.0
0.03,0.04,0.99,-0.02,0.02,-0.0
0.03,0.06,0.98,-0.03,-0.01,0.04
0.01,0.08,1.0,-0.03,0.01,0.1
0.01,0.09,0.98,-0.02,0.01,0.19
0.02,0.06,1.0,-0.04,0.03,0.31
0.06,0.04,1.01,-0.03,0.04,0.36
0.09,0.03,1.0,-0.04,0.03,0.39
0.07,0.01,1.01,-0.03,0.03,0.4
0.06,0.02,1.0,-0.04,0.03,0.42
0.06,0.03,1.01,-0.04,0.02,0.45
0.08,0.02,1.01,-0.05,0.01,0.46
0.08,0.03,1.0,-0.03,0.0,0.46
0.05,0.02,1.0,-0.03,0.03,0.44
0.05,0.03,1.01,-0.04,0.01,0.42
0.02,0.03,1.0,-0.03,0.02,0.4
0.02,0.04,1.0,-0.04,0.01,0.38
0.03,0.05,1.02,-0.03,0.02,0.35
0.03,0.05,1.01,-0.04,0.02,0.32
0.04,0.05,1.0,-0.02,0.01,0.29
0.03,0.05,1.0,-0.03,0.02,0.23
0.03,0.05,1.0,-0.02,0.0,0.2
0.03,0.05,1.01,-0.01,0.01,0.12
0.03,0.05,1.0,-0.02,-0.01,0.03
-0.03,0.1,0.99,-0.02,-0.0,-0.04
0.04,0.05,1.01,-0.02,-0.01,-0.01
0.06,0.04,0.99,-0.03,0.04,-0.01
0.02,0.06,0.98,-0.01,-0.01,0.0
0.05,0.04,1.02,-0.01,-0.01,-0.01
0.03,0.05,1.0,-0.02,0.02,-0.0
0.04,0.05,1.01,-0.02,-0.0,0.0
0.04,0.05,1.0,-0.02,0.01,0.0
0.03,0.05,1.0,-0.02,0.0,-0.01
0.04,0.05,1.0,-0.02,0.01,-0.0
0.04,0.05,1.0,-0.02,0.0,-0.01
0.04,0.04,1.0,-0.02,0.0,-0.01
0.04,0.04,1.0,-0.02,0.0,-0.01
0.04,0.04,1.0,-0.01,-0.0,0.0
0.04,0.05,1.0,-0.0,0.0,0.0
0.04,0.05,0.99,-0.02,-0.0,0.0
0.05,0.05,0.98,-0.02,0.02,0.01
-0.06,0.1,0.98,-0.02,0.04,0.16
0.0,0.11,1.0,-0.04,0.02,0.31
0.41,-0.1,0.98,-0.05,-0.02,0.4
0.51,0.02,1.15,0.04,0.01,-0.37
0.09,0.21,0.94,-0.08,-0.03,-0.63
-0.11,0.24,0.98,-0.0,0.07,-0.39
0.16,0.35,0.99,-0.02,0.1,-0.22
0.28,0.49,0.99,-0.03,0.05,-0.22
0.36,0.48,0.94,-0.06,-0.08,-0.26
0.34,0.41,0.94,-0.14,-0.27,-0.33
0.22,0.23,1.02,-0.18,-0.37,-0.38
0.15,0.03,1.03,-0.19,-0.47,-0.41
0.11,-0.1,1.01,-0.16,-0.46,-0.4
0.1,-0.17,1.01,-0.15,-0.41,-0.4
0.09,-0.17,1.05,-0.15,-0.43,-0.42
0.11,-0.13,1.04,-0.14,-0.4,-0.44
0.12,-0.08,1.04,-0.15,-0.46,-0.47
0.09,-0.01,1.02,-0.16,-0.51,-0.49
0.06,0.03,0.98,-0.19,-0.55,-0.47
0.03,0.07,0.99,-0.2,-0.54,-0.41
-0.03,0.1,1.04,-0.18,-0.55,-0.31
-0.08,0.12,1.05,-0.2,-0.62,-0.21
-0.09,0.16,1.03,-0.23,-0.71,-0.09
-0.1,0.2,1.04,-0.24,-0.78,0.03
-0.1,0.23,1.07,-0.23,-0.9,0.16
-0.05,0.23,1.06,-0.23,-1.02,0.29
-0.04,0.24,1.09,-0.22,-1.2,0.4
-0.02,0.23,1.13,-0.22,-1.37,0.44
0.0,0.22,1.07,-0.21,-1.59,0.51
-0.01,0.22,1.07,-0.21,-1.76,0.57
-0.01,0.22,1.08,-0.21,-1.92,0.64
-0.0,0.22,1.07,-0.19,-2.08,0.68
-0.04,0.21,1.12,-0.15,-2.27,0.73
-0.08,0.17,1.12,-0.15,-2.43,0.81
-0.09,0.15,1.07,-0.1,-2.61,0.87
-0.13,0.15,1.04,-0.08,-2.75,0.96
-0.11,0.14,1.04,-0.07,-2.74,1.06
-0.06,0.12,0.96,-0.09,-2.71,1.14
-0.03,0.08,0.96,-0.15,-2.61,1.23
0.07,0.03,0.97,-0.21,-2.54,1.28
0.16,0.01,1.05,-0.27,-2.54,1.3
0.28,-0.01,1.04,-0.29,-2.57,1.27
0.35,-0.01,0.98,-0.34,-2.56,1.24
0.41,-0.02,0.95,-0.41,-2.45,1.2
0.47,-0.01,0.98,-0.5,-2.37,1.16
0.52,0.03,1.1,-0.56,-2.35,1.08
0.54,0.07,1.13,-0.58,-2.5,0.99
0.49,0.04,1.14,-0.64,-2.68,0.89
0.38,-0.08,1.06,-0.66,-2.78,0.77
0.2,-0.17,0.96,-0.64,-2.75,0.67
0.04,-0.17,0.89,-0.63,-2.61,0.62
-0.07,-0.09,0.86,-0.61,-2.38,0.58
-0.15,0.01,0.87,-0.55,-2.08,0.62
-0.19,0.04,0.89,-0.53,-1.85,0.66
-0.19,0.0,0.98,-0.49,-1.7,0.72
-0.12,-0.06,0.98,-0.45,-1.61,0.75
0.01,-0.07,0.98,-0.39,-1.52,0.76
0.15,-0.05,1.0,-0.37,-1.5,0.74
0.28,-0.03,1.02,-0.36,-1.46,0.72
0.37,-0.01,1.05,-0.37,-1.52,0.66
0.42,0.05,1.12,-0.39,-1.63,0.59
0.42,0.06,1.13,-0.4,-1.83,0.52
0.37,0.06,1.11,-0.38,-2.1,0.46
0.29,0.06,1.1,-0.38,-2.31,0.44
0.22,0.06,1.07,-0.37,-2.5,0.43
0.16,0.05,1.04,-0.35,-2.61,0.45
0.14,0.04,1.01,-0.33,-2.75,0.48
0.12,0.05,1.02,-0.32,-2.78,0.49
0.13,0.05,1.05,-0.32,-2.75,0.51
0.21,0.01,0.99,-0.34,-2.6,0.49
0.29,-0.04,0.98,-0.4,-2.45,0.44
0.38,-0.06,0.97,-0.5,-2.34,0.35
0.39,-0.08,1.0,-0.6,-2.16,0.23
0.33,-0.11,0.95,-0.65,-2.02,0.11
0.27,-0.09,0.9,-0.74,-1.84,0.04
0.24,-0.07,0.93,-0.84,-1.73,-0.02
0.17,-0.04,1.03,-0.89,-1.63,-0.07
0.11,0.01,1.11,-0.91,-1.46,-0.13
0.09,0.05,1.16,-0.97,-1.48,-0.15
0.41,-0.07,0.86,-1.01,-1.5,-0.14
0.07,0.14,1.29,-1.06,-1.47,-0.13
-0.14,0.2,1.13,-1.13,-1.52,-0.12
-0.04,0.17,1.17,-1.13,-1.52,-0.1
0.23,0.03,1.34,-1.18,-1.51,-0.08
0.45,-0.06,0.68,-1.25,-1.67,-0.07
-0.08,0.18,1.25,-1.32,-1.51,-0.03
0.25,0.09,0.73,-1.45,-1.85,0.01
0.19,0.05,0.9,-1.57,-2.08,0.08
0.2,0.01,1.06,-1.69,-2.17,0.1
0.31,-0.06,1.15,-1.73,-2.23,0.04
0.3,-0.07,1.22,-1.75,-2.13,-0.04
0.28,-0.11,1.25,-1.71,-1.94,-0.16
0.22,-0.13,1.22,-1.64,-1.68,-0.29
0.16,-0.11,1.16,-1.59,-1.46,-0.36
0.15,-0.07,1.11,-1.58,-1.26,-0.4
0.18,-0.06,1.13,-1.6,-1.15,-0.42
0.23,-0.07,1.2,-1.64,-1.04,-0.46
0.3,-0.09,1.25,-1.69,-0.93,-0.56
0.32,-0.04,1.3,-1.73,-0.93,-0.67
0.3,-0.04,1.31,-1.8,-0.93,-0.8
0.28,-0.03,1.31,-1.83,-1.02,-0.92
0.2,-0.01,1.29,-1.83,-1.16,-1.0
0.2,-0.0,1.22,-1.84,-1.23,-1.07
0.17,-0.03,1.16,-1.86,-1.36,-1.11
0.1,-0.0,1.14,-1.92,-1.41,-1.14
0.06,-0.02,1.12,-1.96,-1.33,-1.15
-0.0,-0.01,1.12,-1.99,-1.2,-1.18
-0.07,0.02,1.09,-1.97,-1.09,-1.19
-0.11,0.02,1.06,-1.91,-1.08,-1.19
-0.14,0.03,1.03,-1.83,-0.96,-1.17
-0.14,0.05,1.0,-1.75,-0.8,-1.13
-0.11,0.06,1.0,-1.69,-0.64,-1.1
-0.11,0.04,1.01,-1.65,-0.46,-1.09
-0.12,0.04,1.0,-1.64,-0.3,-1.06
-0.11,0.06,0.99,-1.61,-0.19,-1.04
-0.09,0.07,0.98,-1.62,-0.15,-1.04
